id,english,korean,korean_distractors,error_choices,phrase_distractors
1070205,How about / an omelet?,오믈렛은 어떤가요?,오믈렛은 무엇인가요?;오믈렛을 어떻게 만드나요?;오믈렛을 원하나요?;오믈렛은 어디에 있나요?;오믈렛을 좋아하나요?,,/an egg;some cheese;a potato;fried rice;a salad
1070301,{The omelet} {is} / {a popular} {egg dish}.,오믈렛은 인기 있는 달걀 요리입니다.,오믈렛은 만들기 어려운 달걀 요리입니다.;오믈렛은 인기 있는 감자 요리입니다.;오믈렛은 특별한 축제의 이름입니다.;오믈렛은 전 세계에서 인기 없는 음식입니다.;오믈렛은 기름 없이 만드는 달걀 요리입니다.,Omelet;are;an popular;egg dishes,/a simple potato dish;a famous meat dish;a special rice dish;an unpopular egg dish;a popular dessert
1070302,{You} {can make} / {it} {easily}.,여러분은 그것을 쉽게 만들 수 있습니다.,여러분은 그것을 쉽게 먹을 수 있습니다.;여러분은 그것을 어렵게 만들 수 있습니다.;여러분은 그것을 매일 만들어야 합니다.;여러분은 그것을 기름 없이 만들 수 있습니다.;여러분은 그것을 쉽게 살 수 있습니다.,Your;can makes;them;easy,/can eat it;should make it;can buy it;can cook them;will make it
1070303,{You} {beat} / some {eggs} / and {fry} them / in **oil**.,여러분은 약간의 달걀을 풀어 기름에 부칩니다.,여러분은 달걀을 삶아 기름에 넣습니다.;여러분은 약간의 달걀을 풀어 물에 삶습니다.;여러분은 달걀과 감자를 섞어 기름에 부칩니다.;여러분은 달걀을 깨지 않고 기름에 넣습니다.;여러분은 달걀을 풀어 치즈와 함께 굽습니다.,Your;beats;egg;fries,/some potatoes;some vegetables;the omelet;some cheese;some meat//
1070304,That / is all.,그게 다입니다.,그것은 시작일 뿐입니다.;그것은 아주 어렵습니다.;그것이 필요한 재료입니다.;그것은 마지막 단계가 아닙니다.;그것이 가장 중요한 부분입니다.,,/everything;enough;the end;the recipe;simple
1070305,{Do} {you want} / {a more delicious} {omelet}?,여러분은 더 맛있는 오믈렛을 원하나요?,여러분은 더 큰 오믈렛을 원하나요?;여러분은 더 간단한 오믈렛을 만들 수 있나요?;여러분은 맛있는 오믈렛을 먹어 보았나요?;여러분은 오믈렛을 더 많이 만들고 싶나요?;여러분은 더 매운 오믈렛을 원하나요?,Does;you wants;more deliciouser;omelets,/a bigger omelet;a simpler omelet;a more colorful omelet;a smaller omelet;a hotter omelet
1070306,"Just {add} / {cheese}, {vegetables}, or {meat}.","그저 치즈, 야채, 또는 고기를 넣어 보세요.","그저 달걀, 감자, 또는 기름을 넣어 보세요.;치즈와 야채는 넣지 마세요.;그저 치즈, 야채, 또는 고기를 볶으세요.;그저 소금과 후추만 넣어 보세요.;그저 치즈, 야채, 또는 고기를 빼 보세요.",adds;cheeses;vegetable;meats,/some eggs;some potatoes;some rice;some fruit;some bread
1070307,{It} {will} / {taste} {better}!,그것은 더 맛있을 것입니다!,그것은 더 나빠질 것입니다!;그것은 더 커질 것입니다!;그것은 더 빨리 익을 것입니다!;그것은 더 쉽게 만들어질 것입니다!;그것은 더 비쌀 것입니다!,Them;will be;tastes;more better,/worse;different;sweeter;strange;the same
1070401,{There is} / {an interesting} {story} / {about omelets}.,오믈렛에 관한 재미있는 이야기가 하나 있습니다.,오믈렛을 만드는 흥미로운 방법이 하나 있습니다.;달걀에 관한 슬픈 이야기가 하나 있습니다.;나폴레옹에 관한 유명한 그림이 하나 있습니다.;오믈렛 축제에 관한 규칙이 하나 있습니다.;오믈렛에 관한 재미없는 이야기가 하나 있습니다.,There are;a interesting;stories;about omelet,//about eggs;about Napoleon;about potatoes;about festivals;about cooking
1070402,"One day, / **Napoleon** and his {army} / {stayed} {near} / the {town} of **Bessières**.","어느 날, 나폴레옹과 그의 군대가 베시에르 마을 근처에 머물렀습니다.","어느 날, 나폴레옹과 그의 군대가 베시에르 마을을 떠났습니다.;어느 날, 나폴레옹 혼자 베시에르 마을에 머물렀습니다.;어느 날, 나폴레옹과 그의 군대가 베시에르 마을에서 싸웠습니다.;어느 날, 나폴레옹과 그의 가족이 베시에르 마을 근처에 머물렀습니다.;어느 날, 나폴레옹의 군대가 베시에르에서 오믈렛 축제를 열었습니다.",armies;stay;nearly;towns,/his family;his friends;his soldiers only;his cooks;his people//
1070403,"**Napoleon** {tried} / {an omelet} / from the {town}, / and he {enjoyed} it very much.","나폴레옹은 마을에서 만든 오믈렛을 먹어 보았고, 그는 그것을 매우 즐겼습니다.",나폴레옹은 마을에서 오믈렛을 만들었지만 좋아하지 않았습니다.;나폴레옹은 군대를 위해 오믈렛을 주문했고 매우 즐겼습니다.;나폴레옹은 마을의 감자 요리를 먹어 보았고 매우 즐겼습니다.;나폴레옹은 마을에서 만든 오믈렛을 먹어 보았지만 남겼습니다.;나폴레옹은 오믈렛 축제를 보고 매우 즐겼습니다.,try;omelets;towns;enjoy,/a potato dish;a rice dish;a giant omelet;some fried eggs;a special dessert//
1070404,{He} {asked for} / {a giant} {omelet} / for his **army** / the next day.,그는 다음날 그의 군대를 위해 거대한 오믈렛을 요청했습니다.,그는 그날 그의 가족을 위해 작은 오믈렛을 요청했습니다.;그는 다음날 자신의 군대에게 오믈렛을 만들라고 가르쳤습니다.;그는 다음날 마을 사람들을 위해 거대한 오믈렛을 만들었습니다.;그는 다음날 그의 군대를 위해 감자를 요청했습니다.;그는 다음날 그의 군대를 위해 여러 개의 작은 오믈렛을 요청했습니다.,Him;ask for;an giant;omelets,/a small omelet;a giant potato;a large cake;a thin omelet;a special meal//
1070405,"These days, / {people} in **Bessières** / {make} {a giant omelet} / for their {omelet festival} / every year.","오늘날, 베시에르 사람들은 매년 오믈렛 축제를 위해 거대한 오믈렛을 만듭니다.","오늘날, 베시에르 사람들은 매일 거대한 오믈렛을 만듭니다.;오늘날, 베시에르 사람들은 축제를 위해 작은 오믈렛을 만듭니다.;오늘날, 나폴레옹의 군대가 매년 오믈렛 축제를 엽니다.;오늘날, 베시에르 사람들은 감자 축제를 위해 거대한 오믈렛을 만듭니다.;오늘날, 베시에르 사람들은 오믈렛 축제를 열지 않습니다.",peoples;makes;giant omelets;omelets festival,/Napoleon’s army;many tourists;the town’s cooks;some soldiers;French farmers///
1070501,{People} {around the world} / {have} {their own} omelet recipes.,전 세계 사람들은 그들만의 오믈렛 요리법을 가지고 있습니다.,전 세계 사람들은 모두 같은 오믈렛 요리법을 가지고 있습니다.;전 세계 사람들은 오믈렛 요리법을 거의 모릅니다.;베시에르 사람들만 자신만의 오믈렛 요리법을 가지고 있습니다.;전 세계 사람들은 그들만의 달걀 축제를 가지고 있습니다.;전 세계 사람들은 나폴레옹의 오믈렛 요리법을 사용합니다.,Person;around world;has;them own,/in one country;in Bessières;from Spain;in Asia;at festivals
1070502,**Tortilla de Patata** {is} / {a} {Spanish} {omelet}.,Tortilla de Patata(토르티야 데 파타타)는 스페인 오믈렛입니다.,Tortilla de Patata는 말레이시아 오믈렛입니다.;Tortilla de Patata는 스페인 감자 요리이지만 오믈렛은 아닙니다.;Tortilla de Patata는 인도네시아의 볶음밥입니다.;Tortilla de Patata는 프랑스 축제 음식입니다.;Tortilla de Patata는 싱가포르의 얇은 오믈렛입니다.,are;an;Spain;omelets,/a Malaysian omelet;an Indonesian omelet;a French omelet;a Singaporean omelet;a giant omelet
1070503,"{In} **Spanish**, / ‘**patata**’ {means} / ‘{a} {potato}.’",스페인어로 ‘patata’는 ‘감자’를 의미합니다.,스페인어로 ‘patata’는 ‘달걀’을 의미합니다.;스페인어로 ‘patata’는 ‘오믈렛’을 의미합니다.;스페인어로 ‘patata’는 ‘쌀’을 의미합니다.;스페인어로 ‘patata’는 ‘축제’를 의미합니다.;스페인어로 ‘patata’는 ‘마을’을 의미합니다.,On;mean;an;potatoes,//‘an egg’;‘an omelet’;‘some rice’;‘a festival’;‘a town’
1070504,{You} {need} / {eggs and potatoes} / {for} this omelet.,여러분은 이 오믈렛을 위해 달걀과 감자가 필요합니다.,여러분은 이 오믈렛을 위해 달걀과 닭고기가 필요합니다.;여러분은 이 오믈렛을 위해 감자만 필요합니다.;여러분은 이 오믈렛을 위해 볶음밥이 필요합니다.;여러분은 이 오믈렛을 위해 달걀과 치즈가 필요합니다.;여러분은 이 오믈렛을 위해 얇은 오믈렛이 필요합니다.,Your;needs;egg and potato;to,/eggs and cheese;eggs and rice;potatoes and meat;eggs and vegetables;rice and potatoes/
1070505,"In **Malaysia**, / {people} {wrap} / {chicken fried rice} / {with} a thin omelet.",말레이시아에서 사람들은 닭고기 볶음밥을 얇은 오믈렛으로 감쌉니다.,말레이시아에서 사람들은 감자를 얇은 오믈렛으로 감쌉니다.;말레이시아에서 사람들은 닭고기 볶음밥을 두꺼운 빵으로 감쌉니다.;말레이시아에서 사람들은 얇은 오믈렛을 닭고기 볶음밥으로 감쌉니다.;인도네시아에서만 사람들은 닭고기 볶음밥을 얇은 오믈렛으로 감쌉니다.;말레이시아에서 사람들은 닭고기 볶음밥과 오믈렛을 따로 먹습니다.,person;wraps;chickens fried rice;by,//potato fried rice;vegetable fried rice;plain rice;chicken and potatoes;fried eggs/
1070506,{The name} / {of} this {special omelet} / {is} **Nasi Goreng Pattaya**.,이 특별한 오믈렛의 이름은 Nasi Goreng Pattaya(나시 고렝 파타야)입니다.,이 특별한 오믈렛의 이름은 Tortilla de Patata입니다.;Nasi Goreng Pattaya는 이 특별한 볶음밥의 이름입니다.;이 특별한 오믈렛은 이름이 없습니다.;이 특별한 오믈렛의 이름은 Bessières입니다.;이 특별한 오믈렛의 이름은 Napoleon Omelet입니다.,The names;for;special omelets;are,/of this Spanish omelet;of this giant omelet;of this potato dish;of this egg festival;of this fried rice/
1070507,{It} {is} / {also} {popular} / in **Indonesia** and **Singapore**.,그것은 인도네시아와 싱가포르에서도 인기가 있습니다.,그것은 말레이시아에서만 인기가 있습니다.;그것은 인도네시아에서는 인기가 있지만 싱가포르에서는 아닙니다.;그것은 스페인과 프랑스에서도 인기가 있습니다.;그것은 인도네시아와 싱가포르에서는 잘 알려져 있지 않습니다.;그것은 베시에르와 말레이시아에서도 인기가 있습니다.,Them;are;too;popularly,/only popular;not popular;very popular;quite popular;still popular/
1070508,{Do} {you} / {feel} {hungry} / now?,여러분은 지금 배가 고픈가요?,여러분은 지금 행복한가요?;여러분은 지금 오믈렛을 만들고 있나요?;여러분은 지금 피곤한가요?;여러분은 지금 목이 마른가요?;여러분은 지금 배가 부른가요?,Does;your;feels;hungrily,/feel tired;feel happy;feel thirsty;feel full;feel sleepy/
1070509,{How about} / {trying} {an} {omelet}?,오믈렛을 먹어 보는 건 어떤가요?,오믈렛을 만드는 건 어떤가요?;오믈렛을 주문하는 건 어떤가요?;감자 요리를 먹어 보는 건 어떤가요?;달걀을 사는 건 어떤가요?;오믈렛 축제에 가는 건 어떤가요?,How to;try;a;omelets,/making an omelet;ordering an omelet;trying a potato dish;buying some eggs;visiting an omelet festival
