id,english,korean,korean_distractors,error_choices,phrase_distractors
1080404,Then {they} {left} / the {classroom} / {without} **Harry**.,그러더니 그들은 Harry 없이 교실을 나갔습니다.,그러더니 그들은 Harry와 함께 교실을 나갔습니다.;그러더니 Harry가 혼자 교실을 나갔습니다.;그러더니 그들은 Ruby 없이 운동장을 나갔습니다.;그러더니 그들은 교실에 남았습니다.;그러더니 그들은 Harry를 부르고 교실을 나갔습니다.,them;leave;classrooms;with,
1080405,**Harry** felt / so lonely.,Harry는 너무 외롭다고 느꼈습니다.,Harry는 너무 행복하다고 느꼈습니다.;Harry는 아주 신이 났습니다.;Harry는 조금 놀랐다고 느꼈습니다.;Harry는 친구들이 곧 돌아올 거라고 생각했습니다.;Harry는 매우 화가 났습니다.,,/so happy;very excited;quite angry;really surprised;so tired
1080501,"Soon, / his classmates called **Harry**.","곧, 그의 반 친구들이 Harry를 불렀습니다.","곧, Harry가 반 친구들을 불렀습니다.;곧, Ruby만 Harry를 불렀습니다.;곧, 선생님이 Harry를 불렀습니다.;곧, 그의 반 친구들이 Peter를 불렀습니다.;곧, 그의 반 친구들이 Harry를 기다리지 않고 떠났습니다.",,/his teacher called Harry;Ruby called Harry;Peter called Harry;Harry called Ruby;his friends waited for Harry
1080502,"“**Harry**, / come out!”","“Harry야, 나와봐!”","“Harry야, 들어와!”;“Harry야, 앉아!”;“Harry야, 기다려!”;“Harry야, 집에 가!”;“Harry야, 상자를 열어!”",,/come in;sit down;wait here;go home;open it
1080503,"{When} **Harry** {went} outside, / his {classmates} {were waiting} / for him.",Harry가 밖으로 나갔을 때 그의 반 친구들이 그를 기다리고 있었습니다.,Harry가 밖으로 나갔을 때 그의 반 친구들은 이미 떠났습니다.;Harry가 밖으로 나갔을 때 Ruby만 그를 기다리고 있었습니다.;Harry가 교실로 들어갔을 때 그의 반 친구들이 그를 기다리고 있었습니다.;Harry가 밖으로 나갔을 때 그의 반 친구들은 축구를 하고 있었습니다.;Harry가 밖으로 나갔을 때 그의 반 친구들이 Peter를 기다리고 있었습니다.,While;go;classmate;was waiting,/were calling him;were leaving;were playing soccer;were talking;were waiting for Ruby/
1080504,They were wearing / sponge jackets.,그들은 스펀지 재킷을 입고 있었습니다.,그들은 축구 유니폼을 입고 있었습니다.;그들은 스펀지 모자를 쓰고 있었습니다.;그들은 재킷을 벗고 있었습니다.;그들은 Harry의 재킷을 들고 있었습니다.;그들은 평범한 교복만 입고 있었습니다.,,/soccer uniforms;sponge hats;warm coats;school uniforms;rain jackets
1080505,"“Happy birthday, **Harry**! / {This} {is} / {for} {you}!”","“생일 축하해, Harry! 이건 너를 위한 거야!”","“생일 축하해, Harry! 이건 Ruby를 위한 거야!”;“축하해, Harry! 이건 우리가 쓸 거야!”;“생일 축하해, Peter! 이건 너를 위한 거야!”;“안녕, Harry! 이건 네가 준 거야!”;“생일 축하해, Harry! 이건 선생님을 위한 거야!”",These;are;to;your,//from you;for Ruby;for Peter;to you;with you
1080506,**Ruby** {gave} / {a box} / {to} {him}.,Ruby가 그에게 상자를 주었습니다.,Harry가 Ruby에게 상자를 주었습니다.;Ruby가 그에게 재킷을 직접 입혀 주었습니다.;Peter가 Harry에게 상자를 주었습니다.;Ruby가 그에게 축구공을 주었습니다.;Ruby가 상자를 교실에 두었습니다.,give;boxes;for;he,/a soccer ball;a book;a sponge;a bag;a card/
1080507,**Harry** was / surprised.,Harry는 놀랐습니다.,Harry는 화가 났습니다.;Harry는 슬펐습니다.;Harry는 지루했습니다.;Harry는 피곤했습니다.;Harry는 실망했습니다.,,/very angry;really sad;quite tired;very bored;deeply disappointed
1080601,**Harry** {gladly} {opened} / the {box} / and {looked} inside.,Harry는 기뻐하며 그 상자를 열어 안을 보았습니다.,Harry는 조심스럽게 상자를 닫고 밖을 보았습니다.;Harry는 슬프게 상자를 열고 Ruby를 보았습니다.;Harry는 기뻐하며 가방을 열어 안을 보았습니다.;Harry는 상자를 열지 않고 친구들을 보았습니다.;Harry는 놀라서 상자를 떨어뜨렸습니다.,glad;open;boxes;look,/slowly closed;carefully carried;quickly moved;quietly left;Sadly opened/
1080602,There was / a jacket / for **Harry**.,Harry를 위한 재킷이 있었습니다.,Ruby를 위한 재킷이 있었습니다.;Harry를 위한 축구공이 있었습니다.;상자 안에는 아무것도 없었습니다.;Harry를 위한 스펀지 모자가 있었습니다.;Peter를 위한 재킷이 있었습니다.,,/a soccer ball;a sponge hat;a birthday card;a school bag;a pair of shoes/
1080603,“{I} {love} / {it} {very much}!”,“나는 그것이 정말 마음에 들어!”,“나는 그것이 마음에 들지 않아!”;“나는 그것을 Ruby에게 줄게!”;“나는 그것을 잃어버렸어!”;“나는 그것을 나중에 입을게!”;“나는 그것이 너무 작다고 생각해!”,Me;loves;them;very many,/hate it;don’t need it;will return it;can’t wear it;lost it
1080604,**Harry** put on / the jacket.,Harry는 그 재킷을 입었습니다.,Harry는 그 재킷을 벗었습니다.;Harry는 그 재킷을 Ruby에게 주었습니다.;Harry는 그 재킷을 상자에 다시 넣었습니다.;Harry는 스펀지 모자를 썼습니다.;Harry는 그 재킷을 교실에 두었습니다.,,/took off the jacket;gave away the jacket;folded the jacket;put away the jacket;carried the jacket
1080605,Then all the classmates / hugged **Harry**.,그러자 모든 반 친구들이 Harry를 안아 주었습니다.,그러자 모든 반 친구들이 Harry를 떠났습니다.;그러자 Ruby만 Harry를 안아 주었습니다.;그러자 모든 반 친구들이 Harry에게 손을 흔들었습니다.;그러자 모든 반 친구들이 Peter를 안아 주었습니다.;그러자 Harry가 모든 반 친구들을 불렀습니다.,,/called Harry;left Harry;waved at Harry;helped Harry;watched Harry
1080606,{A happy smile} / {spread} / {on} **Harry’s** {face}.,행복한 미소가 Harry의 얼굴에 번졌습니다.,슬픈 표정이 Harry의 얼굴에 번졌습니다.;행복한 미소가 Ruby의 얼굴에 번졌습니다.;Harry의 얼굴에서 미소가 사라졌습니다.;놀란 표정이 Harry의 얼굴에 나타났습니다.;행복한 미소가 모든 친구들의 얼굴에 번졌습니다.,A happily smile;spreads;in;faces,/A sad look;A big tear;A surprised look;An angry look;A worried face/
1080607,{He} {wasn’t} / {lonely} / {anymore}.,그는 더 이상 외롭지 않았습니다.,그는 여전히 외로웠습니다.;그는 더 이상 행복하지 않았습니다.;그는 다시 혼자가 되었습니다.;그는 더 이상 학교에 가지 않았습니다.;그는 친구들이 싫어졌습니다.,Him;weren’t;lonelily;no more,
