id,english,korean,korean_distractors,error_choices,phrase_distractors
1050407,I {could feel} / **Admiral Yi’s** {love} / {for} the {country}.,나는 이순신 장군의 나라에 대한 사랑을 느낄 수 있었다.,나는 이순신 장군의 바다에 대한 사랑을 느낄 수 있었다.;나는 이순신 장군의 나라에 대한 사랑을 볼 수 있었다.;나는 아버지의 나라에 대한 사랑을 느낄 수 있었다.;나는 이순신 장군의 나라에 대한 걱정을 느낄 수 있었다.;나는 이순신 장군의 그림에 대한 사랑을 느낄 수 있었다.,could felt;lovely;for to;country's,//about the sea;for the paintings;about the trip;for the market;about the battle
1050408,{Everything} / {was} / {really} {peaceful}.,모든 것이 정말 평화로웠다.,모든 것이 정말 시끄러웠다.;모든 사람이 정말 평화로웠다.;모든 것이 조금 위험했다.;공원만 정말 평화로웠다.;모든 것이 정말 흥미진진했다.,Everythings;were;real;peacefully,//very noisy;quite crowded;a little scary;really exciting;too busy
1050500,<August 17th>,<8월 17일>,,,
1050501,"{Early in the morning,} / {we} {went} / {to} **Dongpirang**.","아침 일찍, 우리는 동피랑에 갔다.","아침 일찍, 우리는 서피랑에 갔다.;오후 늦게, 우리는 동피랑에 갔다.;아침 일찍, 우리는 중앙시장에 갔다.;아침 일찍, 우리는 동피랑을 떠났다.;아침 일찍, 우리는 미술관에 갔다.","On the morning,;us;go;at",Late in the afternoon;At noon;In the evening;The next afternoon;Early at night//
1050502,{There} {were} / {many pretty paintings} / {on the walls}.,벽에는 많은 예쁜 그림들이 있었다.,벽에는 예쁜 사진들이 많이 있었다.;벽에는 예쁜 그림이 하나 있었다.;바닥에는 많은 예쁜 그림들이 있었다.;벽에는 오래된 그림들이 많이 있었다.;벽에는 아무 그림도 없었다.,Their;was;much pretty paintings;on wall,//under the floor;in the market;inside the museum;along the coast;near the statue
1050503,{It} {was} / the {best place} / {for taking pictures}!,그곳은 사진 찍기에 최고의 장소였다!,그곳은 산책하기에 최고의 장소였다!;그곳은 사진 찍기에 최악의 장소였다!;그곳은 점심 먹기에 최고의 장소였다!;그곳은 그림을 사기에 최고의 장소였다!;그곳은 사진 찍기에 조용한 장소였다!,Its;were;best places;for take pictures,//for having lunch;for buying seafood;for riding horses;for watching movies;for studying art
1050504,**Mom** {and I} / {took} / **hundreds** {of} {pictures}.,엄마와 나는 수백 장의 사진을 찍었다.,아빠와 나는 수백 장의 사진을 찍었다.;엄마와 나는 사진을 몇 장만 찍었다.;엄마와 나는 수백 장의 그림을 그렸다.;엄마와 나는 수백 장의 사진을 보았다.;엄마와 나는 사진을 한 장도 찍지 않았다.,and me;take;for;picture,//a few pictures;hundreds of paintings;many selfies;lots of videos;several photos
1050505,"{Finally,} / {my dad said,} / “{Please stop}! / {No more pictures}!”","마침내, 아빠는 “제발 그만! 더 이상의 사진은 안 돼!”라고 말씀하셨다.","마침내, 엄마는 “제발 그만! 더 이상의 사진은 안 돼!”라고 말씀하셨다.;마침내, 아빠는 “계속해! 사진을 더 찍자!”라고 말씀하셨다.;마침내, 아빠는 “제발 그만! 더 이상의 그림은 안 돼!”라고 말씀하셨다.;처음에, 아빠는 “제발 그만! 더 이상의 사진은 안 돼!”라고 말씀하셨다.;마침내, 아빠는 “제발 기다려! 사진 한 장만 더!”라고 말씀하셨다.","Final,;my dad say,;Please stopping;No more picture","///More pictures, please;No more paintings;Please take pictures;One more picture;Keep taking pictures"
1050601,"‘**Dong**’ {means} ‘{east},’ / and / ‘**pirang**’ {means} ‘{cliff}.’","‘동’은 ‘동쪽’을 의미하고, ‘피랑’은 ‘절벽’을 의미한다.","‘동’은 ‘서쪽’을 의미하고, ‘피랑’은 ‘절벽’을 의미한다.;‘동’은 ‘동쪽’을 의미하고, ‘피랑’은 ‘바다’를 의미한다.;‘동’은 ‘동쪽’을 의미하고, ‘피랑’은 ‘시장’을 의미한다.;‘동’은 ‘절벽’을 의미하고, ‘피랑’은 ‘동쪽’을 의미한다.;‘동’과 ‘피랑’은 모두 ‘동쪽’을 의미한다.",mean;easts;mean;a cliffs,//‘pirang’ means ‘sea’;‘pirang’ means ‘hill’;‘pirang’ means ‘market’;‘pirang’ means ‘east’;‘pirang’ means ‘village’
1050602,There is / also / **Seopirang**.,서피랑도 있다.,동피랑도 있다.;서피랑은 없다.;서피랑만 있다.;남피랑도 있다.;서피랑은 미술관 안에 있다.,,
1050701,"{Next,} / {we} {went} / {to} the **Jeon Hyuck-lim Museum of Art**.","다음으로, 우리는 전혁림 미술관에 갔다.","다음으로, 우리는 전혁림 미술관을 떠났다.;다음으로, 우리는 이순신 공원에 갔다.;다음으로, 우리는 중앙시장에 갔다.;먼저, 우리는 전혁림 미술관에 갔다.;다음으로, 우리는 전혁림 미술관 앞에서 점심을 먹었다.","Nextly,;us;go;at",//the Yi Sun-sin Park;Jungang Market;Dongpirang;the bus terminal;the seaside
1050702,{The} {painter’s} {nickname} / {is} / ‘**The Magician of Color**.’,이 화가의 별명은 ‘색채의 마술사’이다.,이 화가의 별명은 ‘바다의 마술사’이다.;이 화가의 본명은 ‘색채의 마술사’이다.;이 화가의 별명은 ‘빛의 마술사’이다.;이 화가의 별명은 ‘색채의 왕’이다.;이 화가에게는 별명이 없었다.,The a;painter;nicknames;are,//‘The King of the Sea’;‘The Master of Blue’;‘The Painter of Light’;‘The Artist of Tongyeong’;‘The Magician of Art’
1050703,He {painted} / the {sea} of **Tongyeong** / {with} / various blue {colors}.,그는 통영의 바다를 다양한 푸른색으로 칠했다.,그는 통영의 바다를 다양한 붉은색으로 칠했다.;그는 통영의 하늘을 다양한 푸른색으로 칠했다.;그는 서울의 바다를 다양한 푸른색으로 칠했다.;그는 통영의 바다를 한 가지 푸른색으로 칠했다.;그는 다양한 푸른색으로 통영의 산을 칠했다.,paint;sea's;with by;color,///various red colors;one blue color;dark green colors;black and white;many bright colors
1050704,{I} {enjoyed} / his {paintings} / {very much}.,나는 그의 그림을 매우 즐겼다.,나는 그의 그림을 별로 좋아하지 않았다.;나는 그의 그림을 아주 조금 즐겼다.;나는 그의 조각상을 매우 즐겼다.;나는 그의 그림을 매우 잘 그렸다.;나는 그의 그림을 사진으로 많이 찍었다.,Me;enjoy;paintings was;much very,//a little;not at all;once again;for a while;at first
1050801,What / a great experience!,정말 좋은 경험이었다!,정말 힘든 경험이었다!;정말 이상한 경험이었다!;정말 평화로운 장소였다!;정말 멋진 그림이었다!;정말 긴 여행이었다!,,/a difficult experience;a strange experience;a long trip;a peaceful place;a beautiful painting
1050802,{Going on} a {family trip} / {is} / {always fun}.,가족 여행을 가는 것은 언제나 재미있다.,가족 여행을 가는 것은 언제나 피곤하다.;혼자 여행을 가는 것은 언제나 재미있다.;가족 여행을 계획하는 것은 언제나 재미있다.;가족 여행을 가는 것은 가끔 재미있다.;가족 여행을 가는 것은 언제나 어렵다.,Go on;family trips;are;always funnily,Going on a school trip;Planning a family trip;Traveling alone;Taking a short walk;Going to an art museum//
1050803,"**Tongyeong,** / bye / for now!","통영, 이젠 안녕!","통영, 다시 만나!;통영, 이제 시작이야!;통영, 정말 반가워!;서울, 이젠 안녕!;통영, 영원히 안녕!",,//forever;again;today;this time;until tomorrow
1050804,See you / next time!,다음에 보자!,내일 보자!;다음 주에 보자!;곧 다시 보자!;다음 여행에서 보자!;안녕히 가세요!,,/tomorrow;next week;soon;again;later
