id,english,korean,korean_distractors,error_choices,phrase_distractors
1090207,Cool!,멋져요!,무서워요!;이상해요!;어려워요!;지루해요!;아쉽네요!,,
1090208,How / does it work?,그것은 어떻게 작동해요?,그것은 언제 작동해요?;그것은 왜 필요한가요?;그것은 어디에서 만들어졌어요?;그것은 누구를 위한 건가요?;그것은 얼마나 오래 작동해요?,,
1090209,"Pick / one job / from the job list, / like **Pilot**.",‘조종사’와 같이 직업 목록에서 직업 하나를 고르렴.,‘조종사’와 같이 직업 목록에서 두 가지 직업을 고르렴.;직업 목록에서 가장 어려운 직업을 지우렴.;‘소방관’ 대신 직업 목록에서 장치 하나를 고르렴.;직업 목록을 보지 말고 원하는 직업을 말하렴.;‘조종사’와 같이 직업 목록에 새 직업을 적으렴.,,/two jobs;one button;one device;a new job;one name//
1090210,Then / {you} {can experience} / {the} {job}.,그러고 나면 너는 그 직업을 경험해 볼 수 있어.,그러고 나면 너는 그 직업을 선택만 할 수 있어.;그러고 나면 너는 그 직업에 관한 책을 읽을 수 있어.;그러고 나면 너는 현실로 바로 돌아오게 돼.;그러고 나면 너는 그 직업의 이름을 바꿀 수 있어.;그러고 나면 너는 다른 사람의 직업을 볼 수만 있어.,your;can experiences;a;jobs,/you can choose;you can leave;you can return;you can find;you can see/
1090211,"When {you} {want} / {to leave}, / {push} / the red button.",네가 떠나고 싶을 때는 빨간색 버튼을 누르렴.,네가 떠나고 싶을 때는 파란색 문을 열렴.;네가 시작하고 싶을 때는 빨간색 버튼을 누르렴.;네가 떠나고 싶을 때는 장치의 전원을 끄렴.;네가 돌아오고 싶을 때는 직업 목록을 다시 고르렴.;네가 떠나고 싶을 때는 빨간색 버튼을 두 번 누르지 마렴.,your;wants;leaving;pushes,//open;choose;turn;touch;press/
1090212,{It}’ll {bring} / {you} / back {to} reality.,그것은 너를 현실로 다시 데려다줄 거야.,그것은 너를 다른 직업으로 데려다줄 거야.;그것은 너를 학교로 다시 데려다줄 거야.;그것은 너를 직업 세계 안에 계속 머물게 할 거야.;그것은 너를 무대 위로 데려다줄 거야.;그것은 현실에서 너를 직업 목록으로 데려갈 거야.,Them;brings;your;at,//into the room;to the job list;to the stage;back home;to school
1090213,{Lucy} {goes} / to her room / and {looks over} / the {list}.,Lucy는 그녀의 방으로 가서 목록을 살펴본다.,Lucy는 거실로 가서 새로운 장치를 살펴본다.;Lucy는 자기 방으로 가서 빨간색 버튼을 누른다.;Lucy는 자기 방으로 가서 직업 목록을 만든다.;Lucy는 아빠의 방으로 가서 목록을 숨긴다.;Lucy는 자기 방으로 가서 장치를 내려놓고 잔다.,Lucy’s;go;look over;lists,///the device;the room;the button;the door;the camera
1090214,Lucy stops / at **Firefighter**.,Lucy는 ‘소방관’에서 멈춘다.,Lucy는 ‘조종사’에서 멈춘다.;Lucy는 ‘뮤지컬 배우’에서 멈춘다.;Lucy는 직업 목록의 맨 끝에서 멈춘다.;Lucy는 ‘기술자’라는 직업을 지나친다.;Lucy는 ‘소방관’을 목록에서 지운다.,,/at Pilot;at Teacher;at Designer;at Reporter;at Actor
1090215,She / chooses it.,그녀는 그것을 고른다.,그녀는 그것을 건너뛴다.;그녀는 그것을 취소한다.;그녀는 다른 것을 고른다.;그녀는 그것을 목록에서 지운다.;그녀는 그것을 아빠에게 보여 준다.,,
1090216,This job / sounds cool!,이 직업이 멋진 것 같아!,이 직업은 정말 힘들 것 같아!;이 직업은 조금 지루한 것 같아!;이 직업은 나에게 너무 무서워 보여!;이 직업은 별로 특별하지 않은 것 같아!;이 직업은 아주 쉬울 것 같아!,,/looks cool;feels strange;sounds hard;looks easy;sounds fun
1090217,"Suddenly, / {a shining blue door} / {shows up} / {in front of} {her}.",갑자기 빛나는 파란색 문이 그녀 앞에 나타난다.,갑자기 빛나는 빨간색 버튼이 그녀 앞에 나타난다.;갑자기 파란색 문이 그녀 뒤에서 사라진다.;갑자기 어두운 문이 방 한가운데에서 닫힌다.;갑자기 빛나는 파란색 창문이 그녀 옆에 나타난다.;갑자기 직업 목록이 그녀 앞에서 빛나기 시작한다.,shining blue doors;show up;in front;she,/a red curtain;a small device;a burning building;a special camera;a job list//
1090218,{She} {pushes} / {the door} / and {enters} it.,그녀는 그 문을 밀고 그곳에 들어간다.,그녀는 문을 닫고 방에서 나온다.;그녀는 빨간색 버튼을 누르고 문을 기다린다.;그녀는 문을 열지 않고 장치를 살펴본다.;그녀는 그 문을 밀고 밖으로 도망간다.;그녀는 문을 지나쳐 직업 목록으로 돌아간다.,Her;push;doors;enter,/the button;the device;the wall;the window;the list/
1090219,Wow!,와!,휴!;이런!;정말 싫어!;조심해!;안 돼!,,
1090220,This / is amazing!,이건 놀라워!,이건 너무 무서워!;이건 정말 이상해!;이건 아주 평범해!;이건 꽤 어려워!;이건 생각보다 지루해!,,
1090301,"Now, / {Lucy} {is} / {in} a {burning building}.",지금 Lucy는 불타고 있는 건물 안에 있다.,지금 Lucy는 학교 교실 안에 있다.;지금 Lucy는 어두운 무대 위에 있다.;지금 Lucy는 불이 꺼진 건물 밖에 있다.;지금 Lucy는 자기 방으로 돌아와 있다.;지금 Lucy는 소방서 앞에 서 있다.,Lucy’s;are;at;burn building,//in her room;on the stage;at school;on the bus;in a theater
1090302,{She} {is wearing} / {a special suit} / {for} firefighters.,그녀는 소방관을 위한 특수한 옷을 입고 있다.,그녀는 뮤지컬 배우를 위한 고양이 의상을 입고 있다.;그녀는 소방관을 위한 가벼운 평상복을 입고 있다.;그녀는 조종사를 위한 특수한 헬멧만 쓰고 있다.;그녀는 불을 끄기 위해 평범한 교복을 입고 있다.;그녀는 소방관의 특수한 장비를 벗고 있다.,Her;wear;a special suits;to,/a cat costume;a school uniform;a heavy coat;a blue jacket;a pilot suit/
1090303,{This suit} / {is} {very} {heavy}!,이 옷은 매우 무거워!,이 옷은 매우 가벼워!;이 옷은 너무 작아!;이 옷은 아주 부드러워!;이 옷은 생각보다 얇아!;이 옷은 정말 편안해!,These suit;are;much;heavily,/is very light;looks very cool;feels very soft;is too small;looks unusual
1090304,It / is too dark.,너무 어둡다.,너무 밝다.;너무 시끄럽다.;너무 덥다.;너무 좁다.;너무 조용하다.,,
1090305,Lucy / can’t see / anything.,Lucy는 아무것도 볼 수 없다.,Lucy는 모든 것을 선명하게 볼 수 있다.;Lucy는 앞에 있는 불만 볼 수 있다.;Lucy는 어둠 속에서도 잘 볼 수 있다.;Lucy는 소방관들을 전혀 들을 수 없다.;Lucy는 아무것도 만질 수 없다.,,/can’t hear;can’t move;can’t breathe;can’t run;can’t find/
1090306,She / is breathing / hard.,그녀는 힘들게 숨을 쉬고 있다.,그녀는 천천히 걷고 있다.;그녀는 크게 소리치고 있다.;그녀는 편안하게 숨을 쉬고 있다.;그녀는 빠르게 뛰고 있다.;그녀는 숨을 멈추고 있다.,,/is walking;is running;is shouting;is coughing;is moving/
1090307,{Lucy} {turns on} / a special camera / {to see} / {in} the dark.,Lucy는 어둠 속에서 보기 위해 특수한 카메라를 켠다.,Lucy는 불을 끄기 위해 특수한 카메라를 끈다.;Lucy는 어둠 속에서 보기 위해 손전등을 찾는다.;Lucy는 사진을 찍기 위해 특수한 카메라를 켠다.;Lucy는 밝은 곳을 보기 위해 카메라를 닫는다.;Lucy는 소방관들을 부르기 위해 빨간색 버튼을 누른다.,Lucy’s;turn on;seeing;on,/a flashlight;the red button;a blue door;a phone;a light//
1090308,{The firefighters} / {are shooting} / {water} / {toward} a fire.,소방관들이 불을 향해서 물을 쏘고 있다.,소방관들이 사람들을 향해서 물을 쏘고 있다.;소방관들이 불에서 멀어지며 달리고 있다.;소방관들이 불을 향해서 모래를 던지고 있다.;소방관들이 건물 밖에서 카메라를 사용하고 있다.;소방관들이 불을 끄지 않고 개를 찾고 있다.,The firefighter;is shooting;waters;toward to,/are carrying;are moving;are throwing;are bringing;are using//
1090309,Firefighters / are heroes!,소방관들은 영웅이야!,소방관들은 배우야!;소방관들은 무서워!;소방관들은 아주 평범해!;소방관들은 길을 잃었어!;소방관들은 도움이 필요해!,,
1090310,{Lucy} {finds} / a dog / in the corner / and {takes} him / {out of} the building / in a hurry.,Lucy는 모퉁이에서 개 한 마리를 발견하고 그를 서둘러서 건물 밖으로 데리고 나온다.,Lucy는 모퉁이에서 고양이를 발견하고 건물 안으로 데리고 간다.;Lucy는 건물 밖에서 개를 발견하고 천천히 안으로 데려간다.;Lucy는 모퉁이에서 개를 발견하지만 그곳에 남겨 둔다.;Lucy는 소방관 한 명을 발견하고 서둘러 건물 밖으로 데리고 나온다.;Lucy는 모퉁이의 개를 보고 빨간색 버튼을 먼저 누른다.,Lucy’s;find;take;out from,/a cat;a child;a firefighter;a rabbit;a bird////
1090311,{Lucy} {wants} / {to try} / another {job}.,Lucy는 다른 직업을 시도해 보고 싶다.,Lucy는 소방관 일을 계속하고 싶다.;Lucy는 이제 현실로 돌아가고만 싶다.;Lucy는 같은 직업을 다시 시도해 보고 싶다.;Lucy는 직업 체험을 그만두고 싶다.;Lucy는 소방관이 되는 것을 포기하고 싶지 않다.,Lucy’s;want;trying;jobs,/to leave;to rest;to return;to choose;to stop/
1090312,Phew...! / {Their work} / {is} {hard} / but {worthwhile}!,휴……! 그들의 일은 힘들지만 보람이 있어!,휴……! 그들의 일은 쉽고 지루해!;휴……! 그들의 일은 힘들고 아무 의미가 없어!;휴……! 그들의 일은 재미있기만 해!;휴……! 그들의 일은 위험하지만 아주 간단해!;휴……! 그들의 일은 어렵지 않지만 보람도 없어!,Them work;are;hardly;worthwhilely,//is easy;is exciting;is dangerous;is simple;is tiring/
1090313,{She} {pushes} / the {red button} / {on} the device.,그녀는 장치의 빨간색 버튼을 누른다.,그녀는 장치의 파란색 버튼을 누른다.;그녀는 문 옆의 빨간색 버튼을 누른다.;그녀는 장치의 빨간색 버튼을 뗀다.;그녀는 특수 카메라의 버튼을 누른다.;그녀는 장치를 끄고 빨간색 문을 연다.,Her;push;red buttons;in,/the blue button;the green button;the door;the camera;the job list/
1090314,She is / now / in her room / again.,그녀는 이제 다시 그녀의 방에 있다.,그녀는 이제 다시 불타는 건물 안에 있다.;그녀는 이제 다시 학교 교실에 있다.;그녀는 이제 직업 목록 속에 들어가 있다.;그녀는 이제 다시 무대 위에 있다.;그녀는 아직 현실로 돌아오지 못했다.,,///at school;on the stage;in the building;in the hall;on the bus
1090401,{Lucy} {goes back} / {to} the job {list}.,Lucy는 직업 목록으로 돌아간다.,Lucy는 소방관 체험으로 다시 돌아간다.;Lucy는 자기 방으로 돌아가 잠을 잔다.;Lucy는 빨간색 버튼으로 돌아가 그것을 고친다.;Lucy는 직업 목록을 닫고 아빠에게 간다.;Lucy는 새로운 장치를 가지고 학교로 돌아간다.,Lucy’s;go back;at;lists,/to her room;to the stage;to school;to the device;to the door
1090402,She chooses / **Musical Actor**.,그녀는 ‘뮤지컬 배우’를 고른다.,그녀는 ‘조종사’를 고른다.;그녀는 ‘기술자’를 고른다.;그녀는 ‘소방관’을 다시 고른다.;그녀는 ‘가수’를 고르고 뮤지컬 배우는 건너뛴다.;그녀는 아무 직업도 고르지 않는다.,,/Pilot;Reporter;Teacher;Designer;Soccer Player
1090403,**Musical Actor**?,‘뮤지컬 배우’?,‘소방관’?;‘조종사’?;‘기술자’?;‘뮤지컬 감독’?;‘직업 배우’?,,
1090404,It / sounds exciting!,그건 흥미롭게 들려!,그건 위험하게 들려!;그건 지루하게 들려!;그건 너무 어렵게 들려!;그건 이상하게 들려!;그건 별로 재미없게 들려!,,/looks exciting;sounds difficult;feels strange;sounds scary;looks fun
1090405,{Lucy} {is} / {now} / {on} the stage.,Lucy는 지금 무대 위에 있다.,Lucy는 지금 관객석에 있다.;Lucy는 지금 자기 방에 있다.;Lucy는 지금 불타는 건물 안에 있다.;Lucy는 지금 학교 운동장에 있다.;Lucy는 지금 무대 뒤의 복도에만 있다.,Lucy’s;are;nowly;in,
1090406,{She} {is wearing} / {a cat} {costume}.,그녀는 고양이 의상을 입고 있다.,그녀는 소방관 옷을 입고 있다.;그녀는 토끼 의상을 입고 있다.;그녀는 고양이 재킷을 벗고 있다.;그녀는 평범한 교복을 입고 있다.;그녀는 빨간색 커튼으로 만든 옷을 입고 있다.,Her;wear;an cat;costumes,/a firefighter suit;a blue jacket;a school uniform;a dog costume;a red dress
1090407,{She} {sees} / {the red} {curtain}.,그녀는 빨간색 커튼을 본다.,그녀는 파란색 문을 본다.;그녀는 검은색 커튼을 본다.;그녀는 밝은 조명을 본다.;그녀는 무대 뒤의 관객을 본다.;그녀는 빨간색 재킷을 본다.,Her;see;redly;curtains,/the blue door;the bright light;the audience;the stage;the camera
1090408,{Everyone} / {is} {ready} / {for} the first scene.,모두가 첫 번째 장면을 위해 준비가 되어 있다.,모두가 마지막 장면을 위해 준비가 되어 있다.;아무도 첫 번째 장면을 준비하지 못했다.;Lucy만 첫 번째 장면을 위해 준비가 되어 있다.;모두가 공연이 끝나기를 기다리고 있다.;모두가 첫 번째 노래를 이미 마쳤다.,Everyones;are;readily;to,//for the song;for the dance;for the show;for the next job;for the ending
1090409,The curtain / opens.,커튼이 열린다.,커튼이 닫힌다.;문이 열린다.;무대가 움직인다.;빨간색 불이 꺼진다.;고양이 의상이 열린다.,,
1090410,The light / shines.,빛이 비춰진다.,빛이 꺼진다.;빛이 흔들린다.;커튼이 빛난다.;무대가 어두워진다.;관객이 손전등을 켠다.,,
1090411,{Many eyes} / {are looking} / {at} {Lucy}.,많은 눈이 Lucy를 보고 있다.,많은 사람들이 Lucy에게서 눈을 돌리고 있다.;많은 눈이 빨간색 커튼을 보고 있다.;Lucy가 많은 관객들을 바라보고 있다.;많은 눈이 무대 뒤쪽만 보고 있다.;아무도 Lucy를 보고 있지 않다.,Much eyes;is looking;to;Lucy’s,/are watching;are smiling;are waiting;are moving;are shining/
1090412,I / feel nervous!,나는 긴장돼!,나는 정말 신나!;나는 전혀 긴장되지 않아!;나는 너무 지루해!;나는 아주 자신 있어!;나는 무대가 무섭지 않아!,,
1090413,{Everyone} {starts} / {to sing} / and {dance}.,모두가 노래 부르고 춤추기를 시작한다.,모두가 말하고 앉기 시작한다.;모두가 노래를 멈추고 무대에서 내려간다.;Lucy만 노래하고 춤추기 시작한다.;모두가 박수만 치기 시작한다.;모두가 공연을 끝내기 시작한다.,Everyones;start;singing;dances,/to talk;to act;to move;to clap;to shout/
1090414,{What} / {should} {I} {do}?,내가 무엇을 해야 하지?,내가 어디로 가야 하지?;내가 누구를 불러야 하지?;내가 왜 여기 왔지?;내가 어떤 직업을 골랐지?;내가 언제 돌아가야 하지?,Which;should to;me;doing,
1090415,{I} {don’t know} / {any songs} / or {dance moves}!,나는 노래도 춤 동작도 몰라!,나는 모든 노래와 춤 동작을 알고 있어!;나는 노래는 알지만 춤 동작은 몰라!;나는 춤 동작은 알지만 노래는 몰라!;나는 노래도 대사도 전부 알고 있어!;나는 어떤 노래를 부를지 정하지 못했어!,Me;doesn’t know;some song;dance move,/any lines;any people;any jobs;any scenes;any actors/
1090416,{She} {tries} / {to copy} / the others / {from} the back of the stage.,그녀는 무대의 뒤편에서 다른 사람들을 따라 하려고 노력한다.,그녀는 무대 앞쪽에서 다른 사람들을 이끌려고 한다.;그녀는 무대 뒤편에서 혼자 새로운 춤을 만든다.;그녀는 다른 사람들을 따라 하지 않고 무대를 떠난다.;그녀는 객석 뒤에서 배우들을 바라보기만 한다.;그녀는 무대 뒤편에서 다른 사람들에게 자신을 따라 하라고 한다.,Her;try;copying;at,/to follow;to watch;to help;to join;to imitate//
1090417,{This} / {is} {so much} {fun}!,이거 정말 재미있다!,이거 정말 힘들다!;이거 너무 무섭다!;이거 꽤 지루하다!;이거 전혀 재미없다!;이거 생각보다 이상하다!,These;are;so many;funs,/is very hard;is too scary;is quite strange;is really tiring;is so exciting
1090501,{She} {pushes} / the {red button} / {again}.,그녀는 빨간색 버튼을 다시 누른다.,그녀는 파란색 버튼을 다시 누른다.;그녀는 빨간색 버튼을 처음으로 누른다.;그녀는 빨간색 버튼을 누르지 않는다.;그녀는 직업 목록의 버튼을 다시 누른다.;그녀는 빨간색 버튼을 고장 낸다.,Her;push;red buttons;againly,/the blue button;the green button;the device;the door;the job list/
1090502,{There are} / {many} meaningful and interesting {jobs} / {in} the world.,세상에는 의미 있고 흥미로운 직업이 많이 있네.,세상에는 힘들고 위험한 직업만 많이 있네.;세상에는 재미있는 직업이 거의 없네.;세상의 모든 직업은 서로 똑같네.;세상에는 나에게 맞는 직업이 하나뿐이네.;세상에는 의미 없는 직업도 흥미로운 직업도 없네.,There is;much;job;on,/many difficult jobs;many dangerous jobs;many new devices;many different schools;many exciting games/
1090503,{What’s} / {the best job} / {for} {me}?,무엇이 나에게 최고의 직업일까?,무엇이 세상에서 가장 쉬운 직업일까?;어떤 직업이 아빠에게 가장 잘 맞을까?;내가 가장 먼저 체험한 직업은 무엇이었지?;무엇이 가장 위험한 직업일까?;어떤 직업이 다른 사람들에게 가장 인기 있을까?,What are;the better job;to;I,/the easiest job;the coolest job;the right job;the hardest job;the most exciting job/
