id,english,korean,korean_distractors,error_choices,phrase_distractors
1060204,{Start} / {from} {the green shape} / {in the middle}.,가운데 녹색 모양부터 시작하세요.,가운데 파란색 모양부터 시작하세요.;오른쪽의 녹색 모양부터 시작하세요.;가운데 녹색 모양을 자르세요.;가운데 달팽이 껍데기부터 시작하세요.;가운데 녹색 모양에서 멈추세요.,Starting;at;the green shapes;on the middle,/from the blue shape;with the green shape;from the red shape;at the green shape;from the snail shell/
1060205,Then {trace} / {the other shapes} / {with} {your finger}.,그런 다음 손가락으로 다른 모양들을 따라가세요.,그런 다음 가위로 다른 모양들을 오리세요.;그런 다음 손가락으로 녹색 모양만 따라가세요.;그런 다음 손가락으로 다른 그림들을 가리키세요.;그런 다음 다른 모양들을 종이에 그리세요.;그런 다음 손가락으로 달팽이 껍데기를 지우세요.,tracing;the others shapes;by;you finger,/the green line;the first shape;the painted paper;the blue colors;the snail shell/
1060206,{They} {look} / {like} {a snail shell}.,그것들은 달팽이 껍데기처럼 생겼어요.,그것들은 달팽이처럼 움직여요.;그것들은 조개껍데기처럼 생겼어요.;그것들은 녹색 종이처럼 보여요.;그것들은 달팽이 껍데기를 둘러싸고 있어요.;그것들은 여러 동물처럼 생겼어요.,Them;looks;as;an snail shell,/like a flower;like a fish;like a green face;like a bird;like a circle
1060207,"Yes, / I’m a snail!","네, 저는 달팽이예요!","네, 저는 야수예요!;네, 저는 화가예요!;네, 저는 새예요!;아니요, 저는 달팽이가 아니에요!;네, 저는 달팽이 껍데기예요!",,/I’m a bird;I’m a beast;I’m a painter;I’m a fish;I’m an artist
1060208,**Matisse** {created} {me} / {in} {a unique way}.,마티스는 저를 독특한 방법으로 창조했어요.,마티스는 저를 전통적인 방법으로 그렸어요.;마티스는 제 얼굴을 독특한 방법으로 칠했어요.;마티스는 달팽이를 실제 모습 그대로 그렸어요.;마티스는 저를 가위 없이 만들었어요.;마티스는 저를 여러 화가와 함께 만들었어요.,create;I;on;an unique way,/in a simple way;in the usual way;with a paintbrush;in a traditional way;with dark colors
1060209,{He} {painted} paper / and {cut out} shapes / {with scissors}.,그는 종이에 색을 칠하고 가위로 모양을 오려 냈어요.,그는 종이에 그림을 그리고 가위로 종이를 찢었어요.;그는 종이에 색을 칠하고 손으로 모양을 접었어요.;그는 캔버스에 색을 칠하고 가위로 모양을 오려 냈어요.;그는 종이에 글을 쓰고 가위로 모양을 오려 냈어요.;그는 종이에 색을 칠하고 붓으로 모양을 그렸어요.,Him;paint;cutting out;with scissor,/and drew some lines;and folded the paper;and painted a picture;and traced the shapes;and tore the paper/
1060210,Then {he} {put} / {the shapes} together / and {made} me.,그런 다음 그 모양들을 합쳐서 저를 만들었어요.,그런 다음 그 모양들을 버리고 새 그림을 그렸어요.;그런 다음 그 모양들을 잘라서 상자에 넣었어요.;그런 다음 그 모양들을 합쳐서 미술관을 만들었어요.;그런 다음 그 모양들을 나누어서 종이에 붙였어요.;그런 다음 그 모양들을 합쳐서 자신의 얼굴을 만들었어요.,him;putted;the shape;make,/the papers away;the colors together;the pictures aside;the scissors down;the shapes apart/
1060211,"{At the age of} **70**, / **Matisse** {got} / {very} {sick}.","70세의 나이에, 마티스는 매우 아팠어요.","70세의 나이에, 마티스는 매우 유명해졌어요.;60세의 나이에, 마티스는 매우 아팠어요.;70세의 나이에, 마티스는 미술 공부를 시작했어요.;70세의 나이에, 마티스는 건강을 완전히 되찾았어요.;70세의 나이에, 마티스는 그림 그리기를 포기했어요.",In the age of;gets;much;sickness,//very tired;quite healthy;very famous;too busy;really happy
1060212,"However, / {he} {never} / {gave up} {art}.",하지만 그는 예술을 결코 포기하지 않았어요.,하지만 그는 결국 예술을 포기했어요.;그래서 그는 예술을 잠시 쉬었어요.;하지만 그는 미술관을 결코 포기하지 않았어요.;하지만 그는 종이 오리기를 포기했어요.;그러나 그는 자신의 건강을 포기하지 않았어요.,him;not never;give up;arts,/always forgot;finally gave up;never studied;didn’t enjoy;stopped making/
1060213,{He} {created} / {a new} {art form}.,그는 새로운 예술 형태를 만들었어요.,그는 새로운 미술관을 만들었어요.;그는 오래된 예술 형태를 되살렸어요.;그는 새로운 그림 한 점을 만들었어요.;그는 새로운 색을 만들었어요.;그는 다른 화가의 예술 형태를 따라 했어요.,Him;create;an new;art forms,/a new painting;a new gallery;an old art form;a new color;a famous artwork
1060214,It’s / cut-outs.,그것은 종이 오리기예요.,그것은 유화예요.;그것은 조각이에요.;그것은 수채화예요.;그것은 사진이에요.;그것은 벽화예요.,,/oil painting;sculpture;watercolor;photography;wall painting
1060215,{Do} {you want} / {to find} {more artworks} / like me?,여러분은 저와 같은 예술 작품을 더 찾아보고 싶으신가요?,여러분은 저와 같은 동물을 더 찾아보고 싶으신가요?;여러분은 저와 같은 예술 작품을 직접 만들고 싶으신가요?;여러분은 마티스의 미술관을 떠나고 싶으신가요?;여러분은 저와 다른 예술 작품만 보고 싶으신가요?;여러분은 저와 같은 예술가를 더 찾아보고 싶으신가요?,Does;you wants;finding;much artworks,/to make more pictures;to meet more artists;to see more animals;to paint more artworks;to find more galleries/
1060216,{Look around} / {the gallery} and {explore} / **Henri Matisse’s** {world of art}!,미술관을 둘러보며 앙리 마티스의 예술 세계를 탐험해 보세요!,미술관을 떠나 앙리 마티스의 집을 찾아가 보세요!;미술관을 둘러보며 다른 화가들의 예술 세계만 살펴보세요!;미술관에서 앙리 마티스의 작품 하나만 찾아보세요!;미술관을 둘러보며 앙리 마티스의 삶을 글로 써 보세요!;미술관을 둘러보며 앙리 마티스의 그림을 따라 그려 보세요!,Looking around;gallery;explores;worlds of art,Visit another museum;Leave the gallery;Look at one painting;Walk outside the gallery;Go back home//
